"Fix ID","Type","Type name","Family","Page","Page slug","Page ID","Where stored","Current value","Change to","Why","Effort","Renders today","v2 ID","Status","Assigned to","Date fixed","Notes"
"T1-01","1","Links still pointing at a page that does not exist","Participation","view","/forms/participation/view","1714459","lexical · text.root.children[0].children[2].children[0].children[4].path","/admin/forms/participation/create","repoint at a page that exists, or remove the control","create is not a page in pattern 566466 — the URL silently renders admin Home (verified live)","find-and-replace","yes","T2-20 area (new: the create page was deleted after v2)","","","",""
"T1-02","1","Links still pointing at a page that does not exist","Home","Home","/home","566463","lexical · text.root.children[4].children[0].path","/admin/forms/other_datasets/mitigation_measures","/admin/forms/other_forms/mitigation_measures","other_datasets/ has never been a real segment","find-and-replace","no","T1 / T5 (unchanged)","","","",""
"T1-03","1","Links still pointing at a page that does not exist","Home","Home","/home","566463","lexical · text.root.children[4].children[4].path","/admin/forms/other_datasets/mitigation_measures/mitigation_measures_spreadsheet","/admin/forms/other_forms/mitigation_measures/mitigation_measures_spreadsheet","other_datasets/ has never been a real segment","find-and-replace","no","T1 / T5 (unchanged)","","","",""
"T1-04","1","Links still pointing at a page that does not exist","Home","Home","/home","566463","lexical · text.root.children[4].children[0].path","/admin/forms/policies","/admin/forms/other_forms/policies","Policies moved under other_forms/","find-and-replace","no","T1 / T5 (unchanged)","","","",""
"T1-05","1","Links still pointing at a page that does not exist","Home","Home","/home","566463","lexical · text.root.children[4].children[4].path","/admin/forms/policies/policies_spreadsheet","/admin/forms/other_forms/policies/policies_spreadsheet","Policies moved under other_forms/","find-and-replace","no","T1 / T5 (unchanged)","","","",""
"T1-06","1","Links still pointing at a page that does not exist","Home","Home","/home","566463","lexical · text.root.children[4].children[2].path","/admin/forms/capabilities/capabilities_spreadsheet","/admin/forms/capabilities","capabilities_spreadsheet does not exist in pattern 566466","find-and-replace","no","T1 / T5 (unchanged)","","","",""
"T1-07","1","Links still pointing at a page that does not exist","Home","Home","/home","566463","lexical · text.root.children[4].children[2].path","/admin/forms/actions/actions_dashboard","/admin/forms/actions","actions_dashboard does not exist in pattern 566466","find-and-replace","no","T1 / T5 (unchanged)","","","",""
"T1-08","1","Links still pointing at a page that does not exist","Home","Home","/home","566463","lexical · text.root.children[4].children[4].path","/admin/forms/actions/actions_spreadsheet","/admin/forms/actions","actions_spreadsheet does not exist in pattern 566466","find-and-replace","no","T1 / T5 (unchanged)","","","",""
"T1-09","1","Links still pointing at a page that does not exist","Home","Home","/home","566463","lexical · text.root.children[4].children[6].path","/admin/forms/actions/action_create","/admin/forms/actions","action_create does not exist in pattern 566466","find-and-replace","no","T1 / T5 (unchanged)","","","",""
"T1-10","1","Links still pointing at a page that does not exist","Home","Home","/home","566463","lexical · text.root.children[4].children[8].path","/admin/forms/actions/action_upload","/admin/forms/actions","action_upload does not exist in pattern 566466","find-and-replace","no","T1 / T5 (unchanged)","","","",""
"T1-11","1","Links still pointing at a page that does not exist","Capabilities","edit_simple","/forms/capabilities/edit_simple","1696914","lexical · text.root.children[0].children[0].children[0].children[3].path","""card"" (relative)","/admin/forms/capabilities/card","a relative path resolves against the CURRENT url, so this becomes /admin/forms/capabilities/edit_simple/card — no such page","find-and-replace","no","T4 (unchanged)","","","",""
"T1-12","1","Links still pointing at a page that does not exist","Capabilities","edit_simple","/forms/capabilities/edit_simple","1696914","lexical · text.root.children[0].children[1].children[0].children[0].path","""edit"" (relative)","/admin/forms/capabilities/edit_simple","a relative path resolves against the CURRENT url, so this becomes /admin/forms/capabilities/edit_simple/edit — no such page","find-and-replace","no","T4 (unchanged)","","","",""
"T1-13","1","Links still pointing at a page that does not exist","Capabilities","edit_simple","/forms/capabilities/edit_simple","1696914","lexical · text.root.children[0].children[1].children[0].children[2].path","""create_full"" (relative)","remove — create is a modal, not a page","a relative path resolves against the CURRENT url, so this becomes /admin/forms/capabilities/edit_simple/create_full — no such page","find-and-replace","no","T4 (unchanged)","","","",""
"T1-14","1","Links still pointing at a page that does not exist","Capabilities","Capabilities","/forms/capabilities","1690288","lexical · text.root.children[0].children[1].children[0].children[0].path","""edit"" (relative)","/admin/forms/capabilities/edit_simple","a relative path resolves against the CURRENT url, so this becomes /admin/forms/capabilities/edit — no such page","find-and-replace","no","T4 (unchanged)","","","",""
"T1-15","1","Links still pointing at a page that does not exist","Capabilities","Capabilities","/forms/capabilities","1690288","lexical · text.root.children[0].children[1].children[0].children[2].path","""create_full"" (relative)","remove — create is a modal, not a page","a relative path resolves against the CURRENT url, so this becomes /admin/forms/capabilities/create_full — no such page","find-and-replace","no","T4 (unchanged)","","","",""
"T2-01","2","Controls that render, and do nothing","Actions","Actions","/forms/actions","1686109","section 2380154 · lexical button #0","target is ""#""","give the control a real target, or remove it","renders as an in-page anchor; on the annex page these are the five ""Add New …"" buttons","authoring","yes","T2-17…T2-21 (the trigger half, now with a visible button attached)","","","",""
"T2-02","2","Controls that render, and do nothing","Actions","Actions","/forms/actions","1686109","section 2380154 · lexical button #3","target is empty → renders href=""/admin/forms/actions""","wire CREATE to the page's create modal (click_publish → paramKey ""create"")","the button renders and is clickable but navigates to the page it is already on — verified live on /admin/forms/actions","authoring","yes","T2-17…T2-21 (the trigger half, now with a visible button attached)","","","",""
"T2-03","2","Controls that render, and do nothing","Actions","card","/forms/actions/card","1686150","section 2380159 · lexical button #1","target is ""#""","give the control a real target, or remove it","renders as an in-page anchor; on the annex page these are the five ""Add New …"" buttons","authoring","yes","T2-17…T2-21 (the trigger half, now with a visible button attached)","","","",""
"T2-04","2","Controls that render, and do nothing","Actions","card","/forms/actions/card","1686150","section 2380159 · lexical button #3","target is empty → renders href=""/admin/forms/actions/card""","wire CREATE to the page's create modal (click_publish → paramKey ""create"")","the button renders and is clickable but navigates to the page it is already on — verified live on /admin/forms/actions","authoring","yes","T2-17…T2-21 (the trigger half, now with a visible button attached)","","","",""
"T2-05","2","Controls that render, and do nothing","Actions","edit","/forms/actions/edit","1686224","section 2380168 · lexical button #0","target is ""#""","give the control a real target, or remove it","renders as an in-page anchor; on the annex page these are the five ""Add New …"" buttons","authoring","yes","T2-17…T2-21 (the trigger half, now with a visible button attached)","","","",""
"T2-06","2","Controls that render, and do nothing","Actions","edit","/forms/actions/edit","1686224","section 2380168 · lexical button #3","target is empty → renders href=""/admin/forms/actions/edit""","wire CREATE to the page's create modal (click_publish → paramKey ""create"")","the button renders and is clickable but navigates to the page it is already on — verified live on /admin/forms/actions","authoring","yes","T2-17…T2-21 (the trigger half, now with a visible button attached)","","","",""
"T2-07","2","Controls that render, and do nothing","Actions","edit_simple","/forms/actions/edit_simple","1699496","section 2380163 · lexical button #1","target is ""#""","give the control a real target, or remove it","renders as an in-page anchor; on the annex page these are the five ""Add New …"" buttons","authoring","yes","T2-17…T2-21 (the trigger half, now with a visible button attached)","","","",""
"T2-08","2","Controls that render, and do nothing","Actions","edit_simple","/forms/actions/edit_simple","1699496","section 2380163 · lexical button #3","target is empty → renders href=""/admin/forms/actions/edit_simple""","wire CREATE to the page's create modal (click_publish → paramKey ""create"")","the button renders and is clickable but navigates to the page it is already on — verified live on /admin/forms/actions","authoring","yes","T2-17…T2-21 (the trigger half, now with a visible button attached)","","","",""
"T2-09","2","Controls that render, and do nothing","Actions","single_edit","/forms/actions/single_edit","1699449","section 2380184 · lexical button #1","target is ""#""","give the control a real target, or remove it","renders as an in-page anchor; on the annex page these are the five ""Add New …"" buttons","authoring","yes","T2-17…T2-21 (the trigger half, now with a visible button attached)","","","",""
"T2-10","2","Controls that render, and do nothing","Actions","single_edit","/forms/actions/single_edit","1699449","section 2380185 · lexical button #2","target is empty → renders href=""/admin/forms/actions/single_edit""","wire CREATE to the page's create modal (click_publish → paramKey ""create"")","the button renders and is clickable but navigates to the page it is already on — verified live on /admin/forms/actions","authoring","yes","T2-17…T2-21 (the trigger half, now with a visible button attached)","","","",""
"T2-11","2","Controls that render, and do nothing","Actions","view","/forms/actions/view","1686532","section 2380173 · lexical button #2","target is empty → renders href=""/admin/forms/actions/view""","wire CREATE to the page's create modal (click_publish → paramKey ""create"")","the button renders and is clickable but navigates to the page it is already on — verified live on /admin/forms/actions","authoring","yes","T2-17…T2-21 (the trigger half, now with a visible button attached)","","","",""
"T2-12","2","Controls that render, and do nothing","Capabilities","Capabilities","/forms/capabilities","1690288","section 2383870 · lexical button #0","target is ""#""","give the control a real target, or remove it","renders as an in-page anchor; on the annex page these are the five ""Add New …"" buttons","authoring","yes","T2-17…T2-21 (the trigger half, now with a visible button attached)","","","",""
"T2-13","2","Controls that render, and do nothing","Capabilities","Capabilities","/forms/capabilities","1690288","section 2383870 · lexical button #3","target is empty → renders href=""/admin/forms/capabilities""","wire CREATE to the page's create modal (click_publish → paramKey ""create"")","the button renders and is clickable but navigates to the page it is already on — verified live on /admin/forms/actions","authoring","yes","T2-17…T2-21 (the trigger half, now with a visible button attached)","","","",""
"T2-14","2","Controls that render, and do nothing","Capabilities","card","/forms/capabilities/card","1690678","section 2380111 · lexical button #1","target is ""#""","give the control a real target, or remove it","renders as an in-page anchor; on the annex page these are the five ""Add New …"" buttons","authoring","yes","T2-17…T2-21 (the trigger half, now with a visible button attached)","","","",""
"T2-15","2","Controls that render, and do nothing","Capabilities","card","/forms/capabilities/card","1690678","section 2380111 · lexical button #3","target is empty → renders href=""/admin/forms/capabilities/card""","wire CREATE to the page's create modal (click_publish → paramKey ""create"")","the button renders and is clickable but navigates to the page it is already on — verified live on /admin/forms/actions","authoring","yes","T2-17…T2-21 (the trigger half, now with a visible button attached)","","","",""
"T2-16","2","Controls that render, and do nothing","Capabilities","edit_simple","/forms/capabilities/edit_simple","1696914","section 2380109 · lexical button #1","target is empty → renders href=""/admin/forms/capabilities/edit_simple""","wire CREATE to the page's create modal (click_publish → paramKey ""create"")","the button renders and is clickable but navigates to the page it is already on — verified live on /admin/forms/actions","authoring","yes","T2-17…T2-21 (the trigger half, now with a visible button attached)","","","",""
"T2-17","2","Controls that render, and do nothing","Capabilities","single_edit_new","/forms/capabilities/single_edit_new","2323522","section 2380141 · lexical button #2","target is empty → renders href=""/admin/forms/capabilities/single_edit_new""","wire CREATE to the page's create modal (click_publish → paramKey ""create"")","the button renders and is clickable but navigates to the page it is already on — verified live on /admin/forms/actions","authoring","yes","T2-17…T2-21 (the trigger half, now with a visible button attached)","","","",""
"T2-18","2","Controls that render, and do nothing","Capabilities","view","/forms/capabilities/view","1692121","section 2380128 · lexical button #2","target is empty → renders href=""/admin/forms/capabilities/view""","wire CREATE to the page's create modal (click_publish → paramKey ""create"")","the button renders and is clickable but navigates to the page it is already on — verified live on /admin/forms/actions","authoring","yes","T2-17…T2-21 (the trigger half, now with a visible button attached)","","","",""
"T2-19","2","Controls that render, and do nothing","Hazards of Concern","Hazards of Concern","/forms/hazards_of_concern","1444290","section 2380093 · lexical button #1","target is empty → renders href=""/admin/forms/hazards_of_concern""","wire CREATE to the page's create modal (click_publish → paramKey ""create"")","the button renders and is clickable but navigates to the page it is already on — verified live on /admin/forms/actions","authoring","yes","T2-17…T2-21 (the trigger half, now with a visible button attached)","","","",""
"T2-20","2","Controls that render, and do nothing","Hazards of Concern","edit","/forms/hazards_of_concern/edit","1702741","section 2380099 · lexical button #1","target is empty → renders href=""/admin/forms/hazards_of_concern/edit""","wire CREATE to the page's create modal (click_publish → paramKey ""create"")","the button renders and is clickable but navigates to the page it is already on — verified live on /admin/forms/actions","authoring","yes","T2-17…T2-21 (the trigger half, now with a visible button attached)","","","",""
"T2-21","2","Controls that render, and do nothing","Hazards of Concern","single_edit","/forms/hazards_of_concern/single_edit","1713782","section 2380096 · lexical button #2","target is empty → renders href=""/admin/forms/hazards_of_concern/single_edit""","wire CREATE to the page's create modal (click_publish → paramKey ""create"")","the button renders and is clickable but navigates to the page it is already on — verified live on /admin/forms/actions","authoring","yes","T2-17…T2-21 (the trigger half, now with a visible button attached)","","","",""
"T2-22","2","Controls that render, and do nothing","Jurisdictional Annex Entry","Jurisdictional Annex Entry Page","/forms/jurisdictional_annex_entry_page","2334433","section 2379897 · lexical button #0","target is ""#""","wire to the family modal: a click_publish provider publishing that group's modalParamKey","renders as an in-page anchor; on the annex page these are the five ""Add New …"" buttons","authoring","yes","T2-17…T2-21 (the trigger half, now with a visible button attached)","","","",""
"T2-23","2","Controls that render, and do nothing","Jurisdictional Annex Entry","Jurisdictional Annex Entry Page","/forms/jurisdictional_annex_entry_page","2334433","section 2379897 · lexical button #1","target is ""#""","wire to the family modal: a click_publish provider publishing that group's modalParamKey","renders as an in-page anchor; on the annex page these are the five ""Add New …"" buttons","authoring","yes","T2-17…T2-21 (the trigger half, now with a visible button attached)","","","",""
"T2-24","2","Controls that render, and do nothing","Jurisdictional Annex Entry","Jurisdictional Annex Entry Page","/forms/jurisdictional_annex_entry_page","2334433","section 2379897 · lexical button #2","target is ""#""","wire to the family modal: a click_publish provider publishing that group's modalParamKey","renders as an in-page anchor; on the annex page these are the five ""Add New …"" buttons","authoring","yes","T2-17…T2-21 (the trigger half, now with a visible button attached)","","","",""
"T2-25","2","Controls that render, and do nothing","Jurisdictional Annex Entry","Jurisdictional Annex Entry Page","/forms/jurisdictional_annex_entry_page","2334433","section 2379897 · lexical button #3","target is ""#""","wire to the family modal: a click_publish provider publishing that group's modalParamKey","renders as an in-page anchor; on the annex page these are the five ""Add New …"" buttons","authoring","yes","T2-17…T2-21 (the trigger half, now with a visible button attached)","","","",""
"T2-26","2","Controls that render, and do nothing","Jurisdictional Annex Entry","Jurisdictional Annex Entry Page","/forms/jurisdictional_annex_entry_page","2334433","section 2379897 · lexical button #4","target is ""#""","wire to the family modal: a click_publish provider publishing that group's modalParamKey","renders as an in-page anchor; on the annex page these are the five ""Add New …"" buttons","authoring","yes","T2-17…T2-21 (the trigger half, now with a visible button attached)","","","",""
"T2-27","2","Controls that render, and do nothing","Jurisdictional Annex Entry","Jurisdictional Annex Entry Page","/forms/jurisdictional_annex_entry_page","2334433","section 2379903 · lexical button #0","target is ""#""","wire to the family modal: a click_publish provider publishing that group's modalParamKey","renders as an in-page anchor; on the annex page these are the five ""Add New …"" buttons","authoring","yes","T2-17…T2-21 (the trigger half, now with a visible button attached)","","","",""
